"experience_id","position_id","name","description","hyperlink","start_date","end_date"
"1","1","Python Programming Courses","Assisted in teaching Python programming, prepared practical exercises, and mentored students in programming and problem-solving.","","2025-11-01",NULL
"2","1","Programming Labs","Supported students during programming labs, answered technical questions, and graded assignments.","","2025-11-01",NULL
"3","2","MEAL Data Analysis","Collected, cleaned, analyzed, and visualized humanitarian data to support monitoring, evaluation, accountability, and learning activities.","","2026-06-01",NULL
"4","2","Reporting & Dashboards","Developed Excel and Power BI dashboards to monitor project indicators and improve reporting efficiency.","","2026-06-01",NULL
"5","3","Beneficiary Data Management","Managed beneficiary databases, verified records, and ensured data quality for humanitarian projects.","","2024-07-01","2025-01-01"
"6","3","Data Entry Operations","Performed accurate data entry, validation, and reporting while maintaining confidentiality and data integrity.","","2024-07-01","2025-01-01"
